Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Change Trillion USD
China,CHN,59716467625.3148,50056868957.6732,47209359005.6056,50706799902.5103,59708343488.5043,70436266146.7219,76720285969.6157,72881631326.6715,70846535055.6503,79705906247.4612,92602973434.0726,99800958648.1436,113687586299.051,138544284708.957,144182133387.722,163431551779.761,153940455341.506,174938098826.569,149540752829.268,178280594413.043,191149211575.0,195866382432.54,205089699858.779,230686747153.257,259946510957.143,309488028132.653,300758100107.246,272972974764.574,312353631207.819,347768051311.741,360857912565.966,383373318083.624,426915712711.146,444731282436.762,564324670005.917,734547898220.508,863746717503.789,961603952951.82,1029043097554.08,1093997267271.06,1211346869605.24,1339395718865.3,1470550015081.55,1660287965662.68,1955347004963.27,2285965892360.54,2752131773355.16,3552182311652.97,4598206091384.0,5109953609257.25,6100620488867.55,7572553836875.34,8560547314679.28,9607224481532.65,10482372109961.9,11064666282625.5,11199145157649.2,9.987798288043958
United States,USA,543300000000.0,563300000000.0,605100000000.0,638600000000.0,685800000000.0,743700000000.0,815000000000.0,861700000000.0,942500000000.0,1019900000000.0,1075884000000.0,1167770000000.0,1282449000000.0,1428549000000.0,1548825000000.0,1688923000000.0,1877587000000.0,2085951000000.0,2356571000000.0,2632143000000.0,2862505000000.0,3210956000000.0,3344991000000.0,3638137000000.0,4040693000000.0,4346734000000.0,4590155000000.0,4870217000000.0,5252629000000.0,5657693000000.0,5979589000000.0,6174043000000.0,6539299000000.0,6878718000000.0,7308755000000.0,7664060000000.0,8100201000000.0,8608515000000.0,9089168000000.0,9660624000000.0,10284779000000.0,10621824000000.0,10977514000000.0,11510670000000.0,12274928000000.0,13093726000000.0,13855888000000.0,14477635000000.0,14718582000000.0,14418739000000.0,14964372000000.0,15517926000000.0,16155255000000.0,16691517000000.0,17393103000000.0,18120714000000.0,18624475000000.0,8.339696
India,IND,36535925029.925,38709096075.0961,41599070245.0702,47776000903.0009,55726873075.8731,58760424674.5065,45253641300.0,49466168893.3333,52377324280.0,57668330026.6667,61589800520.0,66452561868.4154,70509913046.8528,84374541625.3338,98198276856.9136,97159222028.3357,101346972433.237,119866746569.343,135468782810.558,150950826964.984,183839864648.794,190909548793.872,198037712680.328,215350771423.861,209328156804.186,229410293755.209,245664654064.834,275311425330.609,292632656261.441,292093308316.929,316697337894.532,266502281092.721,284363884079.92,275570363432.31,322909902308.131,355475984176.175,387656017799.599,410320300471.227,415730874172.06,452699998386.955,462146799336.77,478965491061.694,508068952065.959,599592902016.212,699688852930.441,808901077222.092,920316529729.61,1201111768409.39,1186952757635.85,1323940295874.9,1656617073124.21,1823049927771.46,1827637859135.7,1856722121394.53,2035393459979.46,2089865410867.82,2263792499341.01,1.8016457000042398
Germany,DEU,,,,,,,,,,,215021806498.156,249039217364.635,298667219346.133,396866742553.97,443618642959.716,488780155338.262,517787921003.573,598226205424.071,737668356280.428,878010536975.776,946695355820.96,797443405711.813,773638200773.757,767768378016.086,722367608343.069,729763282952.432,1042300769791.95,1293264353318.82,1395931548502.06,1393674332154.37,1764967948916.6,1861873895109.02,2123130870381.97,2068555542410.98,2205966011811.5,2591620035485.19,2503665193657.4,2218689375140.99,2243225519617.65,2199957383336.88,1949953934033.54,1950648769574.94,2079136081309.99,2505733634311.51,2819245095604.67,2861410272354.18,3002446368084.31,3439953462907.2,3752365607148.09,3418005001389.27,3417094562648.95,3757698281117.55,3543983909148.01,3752513503278.41,3890606893346.69,3375611100742.22,3477796274496.8,1.5278423404632597
Brazil,BRA,15165569912.5199,15236854859.469,19926293839.0163,23021477292.2093,21211892259.9904,21790035117.19,27062716577.9111,30591834053.9653,33875881876.3672,37458898243.8609,42327600098.2412,49204456700.4516,58539008786.3684,79279057730.829,105136007528.76,123709376567.89,152678020452.829,176171284311.761,200800891870.164,224969488835.181,235024598983.261,263561088977.129,281682304161.041,203304515490.795,209023912696.839,222942790435.299,268137224729.722,294084112392.66,330397381998.489,425595310000.0,461951782000.0,602860000000.0,400599250000.0,437798577639.752,558111997497.263,785643456467.255,850425828275.793,883199443413.729,863723395088.324,599388879704.634,655421153320.579,559372502338.237,507962741819.919,558320116997.075,669316239316.239,891629970423.924,1107640325472.35,1397084381901.29,1695824517395.57,1667019605881.76,2208871646202.82,2616201578192.25,2465188674415.03,2472806919901.67,2455993200170.0,1803652649613.75,1796186586414.45,1.140765433093871
France,FRA,62651474946.6007,68346741504.4257,76313782251.6964,85551113767.3727,94906593388.3107,102160571409.274,110597467198.645,119466139619.589,129847107787.883,140725497222.277,148948860281.091,166564460755.298,204283485045.514,265381555686.506,286526186579.378,362000917852.226,373410270417.919,411464295266.114,508183139534.884,615834104224.484,703525302701.025,617589619794.81,586837009681.605,561852138738.274,532648802822.187,555197109067.017,774556302680.178,938368438284.405,1023504019381.13,1030122352457.33,1275300566196.84,1275563306592.26,1408724907063.2,1330094973361.13,1401636342155.01,1609892232882.11,1614245416078.98,1460709148123.17,1510758283299.98,1500275942893.67,1368438363736.87,1382218344519.02,1500337850555.24,1848124153498.87,2124112242364.04,2203678646934.46,2325011918203.49,2663112510265.54,2923465651091.26,2693827452070.02,2646837111794.78,2862680142625.14,2681416108537.39,2808511203185.39,2849305322684.76,2433562015516.21,2465453975282.24,1.0970156115453702
Russian Federation,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506500154001.466,516814258695.568,517962962962.963,460290556900.726,435083713850.837,395077301248.464,395531066563.296,391719993756.828,404926534140.017,270953116950.026,195905767668.562,259708496267.33,306602673980.117,345110438692.185,430347770731.787,591016690742.798,764017107992.391,989930542278.695,1299705247685.76,1660844408499.61,1222643696991.85,1524916112078.87,2051661732059.78,2210256976945.38,2297128039058.21,2063662665171.89,1365864126832.81,1283162985989.3,1.0234544897219702
United Kingdom,GBR,72328047042.1588,76694360635.9159,80601939635.2483,85443766670.4279,93387598813.9269,100595782309.165,107090721447.057,111185383409.521,104702736248.084,112676874821.987,130671946244.3,148113896325.14,169965034965.035,192537971582.558,206131369798.971,241756637168.142,232614555256.065,263066457352.172,335883029721.956,438994070309.191,564947710899.373,540765675241.158,515048916841.37,489618008185.539,461487097632.349,489285164271.047,601452653180.885,745162608269.325,910122732123.799,926884816753.927,1093169389204.55,1142797178130.51,1179659529659.53,1061388722255.55,1140489745944.29,1335218557677.13,1408781591263.65,1552483628028.81,1638511096389.53,1665623685487.79,1647951278559.54,1621510004318.41,1768408273381.29,2038395102040.82,2398555474185.28,2520701818181.82,2692612695492.18,3074359743897.56,2890564338235.29,2382825985355.97,2441173394729.62,2619700404733.37,2662085168498.93,2739818680930.19,3022827781881.39,2885570309160.86,2647898654635.24,0.9999473760757002
"Korea, Rep.",KOR,3957873925.93719,2417237753.94419,2813933899.74577,3988246108.63888,3458518493.92483,3120307807.80781,3928171298.00251,4854576371.4328,6117260075.90819,7675805108.27318,8999227202.47295,9889961111.91128,10842220468.8335,13841885920.8676,19482038222.8595,21704752066.1157,29779338842.9752,38265082644.6281,51700619834.7107,66567975206.6116,64980820835.3226,72425590649.4574,77773431088.253,87024427972.9294,96597434179.5082,100273097170.18,115537126325.94,146133338196.141,196964195387.371,243526047716.915,279349355713.801,325734233312.879,350051111253.443,386302839273.923,455602962225.403,556130926912.754,598099073901.423,557503074772.151,374241351752.483,485248229336.653,561633125839.994,533052076313.527,609020054512.465,680520724062.403,764880644710.649,898137194716.188,1011797457138.5,1122679154632.41,1002219052967.54,901934953364.711,1094499338702.72,1202463682633.85,1222807284485.31,1305604981271.91,1411333926201.24,1382764027113.82,1411245589976.63,0.8496124641366358
Australia,AUS,18593347519.3191,19666256019.7111,19911524246.8362,21527606674.8796,23787658192.4068,25962593795.4978,27288610146.713,30421099787.2102,32687870982.1929,36659200358.3828,41304737372.6061,45183111210.6619,52003504672.8972,63782190903.2671,88906411201.1791,97226546497.3372,104974158578.092,110266116081.67,118400631626.438,134793820288.538,149887465181.059,176804829908.278,193954540439.148,177176415535.798,193503894222.061,180470967247.066,182281757134.863,189375992588.671,236135768335.274,299941372852.374,311425933051.174,326068597441.331,325692532492.502,312372821810.006,323216879972.328,368391743391.743,401819423368.74,436097980904.68,399778878111.646,389146509587.668,415446209885.072,378899860470.108,394635830891.586,466853232382.062,613329776639.636,693764095624.718,747572626534.891,853764622752.61,1055334825425.25,927168310999.853,1142876772659.21,1390557034407.97,1538194473087.23,1567178619062.28,1459597906912.7,1345383143356.35,1204616439828.41,0.7891702299433379
